年平均每日交通量,主梁材質_預力混凝土,平均月相對濕度,橋梁總長(M),離海岸距離(公尺),設計垂直地震力係數,是否為跨水橋,橋梁最接近斷層距離,橋下有無租用,label
15852.0,1,76.78156566,110.2,13071,0.1,1,16834.97,0,0
18022.0,1,76.78156566,41.0,12990,0.1,0,16558.39,0,0
18022.0,1,76.78156566,76.0,13143,0.1,0,16593.71,0,0
18022.0,1,76.78156566,52.0,15008,0.1,0,16702.92,0,0
22805.0,1,76.78156566,70.3,14850,0.1,1,16624.76,0,0
25262.0,1,76.78156566,70.3,14857,0.1,1,16611.06,0,0
23364.0,1,76.78156566,318.9,23737,0.1,1,11754.19,0,0
20025.0,1,76.78156566,95.0,14046,0.1,0,16476.21,0,0
22805.0,1,75.18181818,79.0,16300,0.1,0,17294.86,1,0
25269.0,1,75.18181818,79.0,16299,0.1,0,17280.76,1,0
22805.0,1,75.18181818,160.1,16795,0.15,1,17241.37,1,0
25269.0,1,75.18181818,185.1,16794,0.15,1,17221.81,1,0
22727.0,1,76.78156566,981.95,24909,0.1,1,12448.18,1,0
9257.0,1,79.45075758,720.0,4835,0.12,1,14496.03,0,0
9257.0,0,79.45075758,445.0,5673,0.12,1,14498.25,0,0
8983.0,0,79.45075758,345.0,5770,0.12,1,14492.84,0,0
9257.0,1,79.45075758,120.0,6358,0.12,0,14774.09,0,0
8983.0,1,79.45075758,120.0,6383,0.12,0,14749.67,0,0
9257.0,1,79.45075758,540.0,7438,0.12,0,14754.39,0,0
8983.0,1,79.45075758,430.0,7539,0.12,0,14735.26,0,0
9257.0,1,79.45075758,675.0,8302,0.12,1,14731.25,1,0
8983.0,1,79.45075758,720.0,8342,0.12,1,14713.38,1,0
15852.0,1,76.78156566,450.0,9883,0.12,1,14720.01,0,0
18022.0,1,76.78156566,330.0,9987,0.12,1,14712.28,0,0
15852.0,1,76.78156566,225.0,10447,0.12,0,14945.0,0,0
15852.0,1,76.78156566,400.0,10674,0.12,1,15107.66,1,0
18022.0,1,76.78156566,329.5,10433,0.12,0,14909.42,1,0
9257.0,1,79.45075758,577.64,536,0.1,0,13721.44,1,0
8983.0,1,79.45075758,580.0,527,0.1,0,13712.51,1,0
9257.0,1,79.45075758,80.0,1306,0.1,0,13422.01,0,0
8983.0,1,79.45075758,60.0,1328,0.1,0,13400.48,0,0
9257.0,1,79.45075758,50.0,1322,0.1,0,13446.33,0,0
