,Feature,Importance
0,橋梁最接近斷層距離,0.2336234559936619
1,離海岸距離(公尺),0.11541466252227071
2,設計垂直地震力係數,0.10328258103232534
3,橋梁總長(M),0.10141569069149128
4,年平均每日交通量,0.10092033520418693
5,橋下有無租用,0.047649405317885585
6,最大淨寬(M),0.04181498065953956
7,主梁材質_鋼筋混凝土,0.0370352464746156
8,最小淨寬(M),0.03503974931137489
9,設計活載重,0.024743140746600823
